date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Madhya Pradesh,Sehore,466116,91,462
01-05-2025,Madhya Pradesh,Sehore,466001,113,626
01-05-2025,Madhya Pradesh,Sehore,466111,20,91
01-03-2025,Madhya Pradesh,Sehore,466001,103,644
01-03-2025,Madhya Pradesh,Sehore,466116,80,464
01-03-2025,Madhya Pradesh,Sehore,466113,12,66
01-09-2025,Madhya Pradesh,Sehore,466331,2,20
01-09-2025,Madhya Pradesh,Sehore,466554,0,8
02-09-2025,Madhya Pradesh,Sehore,466001,4,36
02-09-2025,Madhya Pradesh,Sehore,466331,1,15
02-09-2025,Madhya Pradesh,Sehore,466448,0,2
02-09-2025,Madhya Pradesh,Sehore,466661,0,2
03-09-2025,Madhya Pradesh,Sehore,466001,4,25
03-09-2025,Madhya Pradesh,Sehore,466116,5,9
03-09-2025,Madhya Pradesh,Sehore,466651,0,4
03-09-2025,Madhya Pradesh,Sehore,466661,0,1
04-09-2025,Madhya Pradesh,Sehore,466001,5,24
04-09-2025,Madhya Pradesh,Sehore,466116,2,11
04-09-2025,Madhya Pradesh,Sehore,466120,0,2
04-09-2025,Madhya Pradesh,Sehore,466661,0,2
06-09-2025,Madhya Pradesh,Sehore,466113,0,2
06-09-2025,Madhya Pradesh,Sehore,466118,0,2
06-09-2025,Madhya Pradesh,Sehore,466448,1,0
06-09-2025,Madhya Pradesh,Sehore,466554,2,0
05-09-2025,Madhya Pradesh,Sehore,466115,0,2
05-09-2025,Madhya Pradesh,Sehore,466331,1,5
08-09-2025,Madhya Pradesh,Sehore,466001,4,28
08-09-2025,Madhya Pradesh,Sehore,466331,10,21
08-09-2025,Madhya Pradesh,Sehore,466445,2,7
08-09-2025,Madhya Pradesh,Sehore,466446,2,0
07-09-2025,Madhya Pradesh,Sehore,466114,1,1
07-09-2025,Madhya Pradesh,Sehore,466554,0,3
09-09-2025,Madhya Pradesh,Sehore,466445,1,4
10-09-2025,Madhya Pradesh,Sehore,466113,1,1
10-09-2025,Madhya Pradesh,Sehore,466118,1,0
10-09-2025,Madhya Pradesh,Sehore,466120,0,3
10-09-2025,Madhya Pradesh,Sehore,466125,1,2
10-09-2025,Madhya Pradesh,Sehore,466331,8,15
10-09-2025,Madhya Pradesh,Sehore,466665,0,3
11-09-2025,Madhya Pradesh,Sehore,466115,4,19
11-09-2025,Madhya Pradesh,Sehore,466116,1,19
11-09-2025,Madhya Pradesh,Sehore,466554,0,4
11-09-2025,Madhya Pradesh,Sehore,466665,1,3
12-09-2025,Madhya Pradesh,Sehore,466114,1,7
12-09-2025,Madhya Pradesh,Sehore,466116,2,10
12-09-2025,Madhya Pradesh,Sehore,466120,1,1
12-09-2025,Madhya Pradesh,Sehore,466446,1,5
13-09-2025,Madhya Pradesh,Sehore,466111,0,2
13-09-2025,Madhya Pradesh,Sehore,466120,0,3
14-09-2025,Madhya Pradesh,Sehore,466118,0,1
15-09-2025,Madhya Pradesh,Sehore,466111,0,1
15-09-2025,Madhya Pradesh,Sehore,466116,1,18
17-09-2025,Madhya Pradesh,Sehore,466331,4,18
17-09-2025,Madhya Pradesh,Sehore,466448,1,3
17-09-2025,Madhya Pradesh,Sehore,466661,0,3
18-09-2025,Madhya Pradesh,Sehore,466001,1,41
18-09-2025,Madhya Pradesh,Sehore,466113,0,2
18-09-2025,Madhya Pradesh,Sehore,466114,0,5
18-09-2025,Madhya Pradesh,Sehore,466115,0,9
18-09-2025,Madhya Pradesh,Sehore,466651,1,3
19-09-2025,Madhya Pradesh,Sehore,466116,0,17
19-09-2025,Madhya Pradesh,Sehore,466446,0,5
19-09-2025,Madhya Pradesh,Sehore,466448,0,2
