date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Madhya Pradesh,Sehore,466446,296,490
01-03-2025,Madhya Pradesh,Sehore,466114,125,219
01-03-2025,Madhya Pradesh,Sehore,466331,711,1521
01-04-2025,Madhya Pradesh,Sehore,466446,515,281
01-05-2025,Madhya Pradesh,Sehore,466661,337,270
01-05-2025,Madhya Pradesh,Sehore,466331,1131,1321
01-05-2025,Madhya Pradesh,Sehore,466554,241,244
01-06-2025,Madhya Pradesh,Sehore,466116,1435,1279
01-06-2025,Madhya Pradesh,Sehore,466113,195,144
01-05-2025,Madhya Pradesh,Sehore,466114,284,174
01-05-2025,Madhya Pradesh,Sehore,466651,329,308
19-10-2025,Madhya Pradesh,Sehore,466113,3,3
19-10-2025,Madhya Pradesh,Sehore,466125,4,2
19-10-2025,Madhya Pradesh,Sehore,466448,3,4
19-10-2025,Madhya Pradesh,Sehore,466554,1,2
20-10-2025,Madhya Pradesh,Sehore,466113,1,0
20-10-2025,Madhya Pradesh,Sehore,466120,0,1
26-10-2025,Madhya Pradesh,Sehore,466115,24,22
26-10-2025,Madhya Pradesh,Sehore,466116,7,28
26-10-2025,Madhya Pradesh,Sehore,466651,7,9
21-10-2025,Madhya Pradesh,Sehore,466665,0,1
02-11-2025,Madhya Pradesh,Sehore,466113,9,7
02-11-2025,Madhya Pradesh,Sehore,466221,2,15
02-11-2025,Madhya Pradesh,Sehore,466448,2,8
09-11-2025,Madhya Pradesh,Sehore,466114,2,8
09-11-2025,Madhya Pradesh,Sehore,466120,3,10
16-11-2025,Madhya Pradesh,Sehore,466554,8,7
16-11-2025,Madhya Pradesh,Sehore,466651,7,11
14-12-2025,Madhya Pradesh,Sehore,466114,3,1
25-12-2025,Madhya Pradesh,Sehore,466114,0,2
25-12-2025,Madhya Pradesh,Sehore,466448,0,1
07-12-2025,Madhya Pradesh,Sehore,466651,7,13
25-12-2025,Madhya Pradesh,Sehore,466111,7,12
28-12-2025,Madhya Pradesh,Sehore,466001,8,16
28-12-2025,Madhya Pradesh,Sehore,466115,20,16
28-12-2025,Madhya Pradesh,Sehore,466116,12,19
28-12-2025,Madhya Pradesh,Sehore,466221,1,5
28-12-2025,Madhya Pradesh,Sehore,466651,6,4
27-12-2025,Madhya Pradesh,Sehore,466001,40,43
27-12-2025,Madhya Pradesh,Sehore,466446,32,22
27-12-2025,Madhya Pradesh,Sehore,466665,22,7
01-01-2026,Madhya Pradesh,Sehore,466116,38,53
01-01-2026,Madhya Pradesh,Sehore,466221,6,12
01-01-2026,Madhya Pradesh,Sehore,466331,29,66
01-01-2026,Madhya Pradesh,Sehore,466446,18,17
01-01-2026,Madhya Pradesh,Sehore,466448,2,6
01-01-2026,Madhya Pradesh,Sehore,466554,19,8
01-01-2026,Madhya Pradesh,Sehore,466661,18,20
29-12-2025,Madhya Pradesh,Sehore,466114,8,11
29-12-2025,Madhya Pradesh,Sehore,466125,5,4
29-12-2025,Madhya Pradesh,Sehore,466331,17,32
29-12-2025,Madhya Pradesh,Sehore,466445,18,8
29-12-2025,Madhya Pradesh,Sehore,466665,3,1
21-12-2025,Madhya Pradesh,Sehore,466111,0,1
21-12-2025,Madhya Pradesh,Sehore,466125,0,2
21-12-2025,Madhya Pradesh,Sehore,466331,1,3
14-12-2025,Madhya Pradesh,Sehore,466115,0,5
14-12-2025,Madhya Pradesh,Sehore,466665,0,2
03-01-2026,Madhya Pradesh,Sehore,466114,1,1
03-01-2026,Madhya Pradesh,Sehore,466554,0,2
02-01-2026,Madhya Pradesh,Sehore,466125,2,6
